AOI Coordinates,2016,2017,2018,2019,2020,2021,2022,2023
"[[[74.67792937305236, 31.913394575025592], [74.68792937305237, 31.913394575025592], [74.68792937305237, 31.923394575025593], [74.67792937305236, 31.923394575025593], [74.67792937305236, 31.913394575025592]]]",27.14910233787176,37.96509686366174,51.85979516116134,51.219667840459984,43.33379537398429,47.27149985209134,52.51819890644833,55.170769300820055
"[[[74.67792937305236, 31.923394575025593], [74.68792937305237, 31.923394575025593], [74.68792937305237, 31.933394575025595], [74.67792937305236, 31.933394575025595], [74.67792937305236, 31.923394575025593]]]",1.4346439051544568,1.2646230281461612,0.7033957882413233,2.6367287105701918,3.220455929840682,1.88068675042814,0.9098786743379605,3.5190099265037134
"[[[74.67792937305236, 31.93339457502559], [74.68792937305237, 31.93339457502559], [74.68792937305237, 31.943394575025593], [74.67792937305236, 31.943394575025593], [74.67792937305236, 31.93339457502559]]]",89.18285286172998,92.99321705735832,93.47858187782495,96.51960962858378,108.9872178433298,106.05899275184183,74.39029453741229,100.28572041488728
"[[[74.67792937305236, 31.943394575025593], [74.68792937305237, 31.943394575025593], [74.68792937305237, 31.953394575025595], [74.67792937305236, 31.953394575025595], [74.67792937305236, 31.943394575025593]]]",8.469294765586442,7.352144793594562,6.663642703551886,8.57747021234151,6.887791104570224,7.446461924098591,3.6374810594991813,4.764990534682583
"[[[74.67792937305236, 31.95339457502559], [74.68792937305237, 31.95339457502559], [74.68792937305237, 31.963394575025593], [74.67792937305236, 31.963394575025593], [74.67792937305236, 31.95339457502559]]]",14.151565871749042,19.166156877077704,16.308356885775517,17.094582053129006,17.371102979104407,34.008327017565314,24.361194548787974,26.341019569782105
"[[[74.67792937305236, 31.963394575025593], [74.68792937305237, 31.963394575025593], [74.68792937305237, 31.973394575025594], [74.67792937305236, 31.973394575025594], [74.67792937305236, 31.963394575025593]]]",230.42370969939446,250.6115918017732,270.8159642763128,290.3958038987491,272.80742282021754,300.37684791045933,264.5869833001937,266.92338499594115
"[[[74.67792937305236, 31.97339457502559], [74.68792937305237, 31.97339457502559], [74.68792937305237, 31.983394575025592], [74.67792937305236, 31.983394575025592], [74.67792937305236, 31.97339457502559]]]",225.96916901274682,250.0702766314642,235.07664559222135,239.22629074907098,241.38532797457916,265.5101070615727,249.81833081688654,250.74500208122478
"[[[74.67792937305236, 31.983394575025592], [74.68792937305237, 31.983394575025592], [74.68792937305237, 31.993394575025594], [74.67792937305236, 31.993394575025594], [74.67792937305236, 31.983394575025592]]]",76.038793903919,85.85338006535565,93.28896740172009,90.0143785498225,88.95802274575367,105.12464076473069,81.34552466266078,94.42017263237426
"[[[74.67792937305236, 31.99339457502559], [74.68792937305237, 31.99339457502559], [74.68792937305237, 32.00339457502559], [74.67792937305236, 32.00339457502559], [74.67792937305236, 31.99339457502559]]]",222.55808594154587,263.96168620003044,258.8281003093449,264.6417668706844,254.66583429629281,281.768440445135,272.891516956817,250.39062412624844
"[[[74.67792937305236, 32.003394575025595], [74.68792937305237, 32.003394575025595], [74.68792937305237, 32.01339457502559], [74.67792937305236, 32.01339457502559], [74.67792937305236, 32.003394575025595]]]",283.8557455565933,311.71534774708226,312.0321965228868,309.24314803026124,330.13769913518445,349.03731540857734,325.4670930527596,367.13130905714024
