AOI Coordinates,2016,2017,2018,2019,2020,2021,2022
"[[[74.69792937305236, 31.923394575025593], [74.70792937305237, 31.923394575025593], [74.70792937305237, 31.933394575025595], [74.69792937305236, 31.933394575025595], [74.69792937305236, 31.923394575025593]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.69792937305236, 31.93339457502559], [74.70792937305237, 31.93339457502559], [74.70792937305237, 31.943394575025593], [74.69792937305236, 31.943394575025593], [74.69792937305236, 31.93339457502559]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.69792937305236, 31.943394575025593], [74.70792937305237, 31.943394575025593], [74.70792937305237, 31.953394575025595], [74.69792937305236, 31.953394575025595], [74.69792937305236, 31.943394575025593]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.69792937305236, 31.95339457502559], [74.70792937305237, 31.95339457502559], [74.70792937305237, 31.963394575025593], [74.69792937305236, 31.963394575025593], [74.69792937305236, 31.95339457502559]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.69792937305236, 31.963394575025593], [74.70792937305237, 31.963394575025593], [74.70792937305237, 31.973394575025594], [74.69792937305236, 31.973394575025594], [74.69792937305236, 31.963394575025593]]]",0.0,0.0,0.0,0.0,0.0,0,0
"[[[74.69792937305236, 31.97339457502559], [74.70792937305237, 31.97339457502559], [74.70792937305237, 31.983394575025592], [74.69792937305236, 31.983394575025592], [74.69792937305236, 31.97339457502559]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.69792937305236, 31.983394575025592], [74.70792937305237, 31.983394575025592], [74.70792937305237, 31.993394575025594], [74.69792937305236, 31.993394575025594], [74.69792937305236, 31.983394575025592]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 31.99339457502559], [74.70792937305237, 31.99339457502559], [74.70792937305237, 32.00339457502559], [74.69792937305236, 32.00339457502559], [74.69792937305236, 31.99339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.003394575025595], [74.70792937305237, 32.003394575025595], [74.70792937305237, 32.01339457502559], [74.69792937305236, 32.01339457502559], [74.69792937305236, 32.003394575025595]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.01339457502559], [74.70792937305237, 32.01339457502559], [74.70792937305237, 32.02339457502559], [74.69792937305236, 32.02339457502559], [74.69792937305236, 32.01339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.02339457502559], [74.70792937305237, 32.02339457502559], [74.70792937305237, 32.03339457502559], [74.69792937305236, 32.03339457502559], [74.69792937305236, 32.02339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.03339457502559], [74.70792937305237, 32.03339457502559], [74.70792937305237, 32.04339457502559], [74.69792937305236, 32.04339457502559], [74.69792937305236, 32.03339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.043394575025594], [74.70792937305237, 32.043394575025594], [74.70792937305237, 32.05339457502559], [74.69792937305236, 32.05339457502559], [74.69792937305236, 32.043394575025594]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.05339457502559], [74.70792937305237, 32.05339457502559], [74.70792937305237, 32.06339457502559], [74.69792937305236, 32.06339457502559], [74.69792937305236, 32.05339457502559]]]",0.0,0.0,0.0,0.0,0.0,0,0
"[[[74.69792937305236, 32.06339457502559], [74.70792937305237, 32.06339457502559], [74.70792937305237, 32.07339457502559], [74.69792937305236, 32.07339457502559], [74.69792937305236, 32.06339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.07339457502559], [74.70792937305237, 32.07339457502559], [74.70792937305237, 32.08339457502559], [74.69792937305236, 32.08339457502559], [74.69792937305236, 32.07339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.083394575025594], [74.70792937305237, 32.083394575025594], [74.70792937305237, 32.09339457502559], [74.69792937305236, 32.09339457502559], [74.69792937305236, 32.083394575025594]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.09339457502559], [74.70792937305237, 32.09339457502559], [74.70792937305237, 32.10339457502559], [74.69792937305236, 32.10339457502559], [74.69792937305236, 32.09339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.10339457502559], [74.70792937305237, 32.10339457502559], [74.70792937305237, 32.11339457502559], [74.69792937305236, 32.11339457502559], [74.69792937305236, 32.10339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.113394575025595], [74.70792937305237, 32.113394575025595], [74.70792937305237, 32.12339457502559], [74.69792937305236, 32.12339457502559], [74.69792937305236, 32.113394575025595]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.12339457502559], [74.70792937305237, 32.12339457502559], [74.70792937305237, 32.13339457502559], [74.69792937305236, 32.13339457502559], [74.69792937305236, 32.12339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.13339457502559], [74.70792937305237, 32.13339457502559], [74.70792937305237, 32.14339457502559], [74.69792937305236, 32.14339457502559], [74.69792937305236, 32.13339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.14339457502559], [74.70792937305237, 32.14339457502559], [74.70792937305237, 32.15339457502559], [74.69792937305236, 32.15339457502559], [74.69792937305236, 32.14339457502559]]]",0.0,0.0,0.0,0.0,0.0,0,0
"[[[74.69792937305236, 32.153394575025594], [74.70792937305237, 32.153394575025594], [74.70792937305237, 32.16339457502559], [74.69792937305236, 32.16339457502559], [74.69792937305236, 32.153394575025594]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.16339457502559], [74.70792937305237, 32.16339457502559], [74.70792937305237, 32.17339457502559], [74.69792937305236, 32.17339457502559], [74.69792937305236, 32.16339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.17339457502559], [74.70792937305237, 32.17339457502559], [74.70792937305237, 32.18339457502559], [74.69792937305236, 32.18339457502559], [74.69792937305236, 32.17339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.183394575025595], [74.70792937305237, 32.183394575025595], [74.70792937305237, 32.19339457502559], [74.69792937305236, 32.19339457502559], [74.69792937305236, 32.183394575025595]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.19339457502559], [74.70792937305237, 32.19339457502559], [74.70792937305237, 32.20339457502559], [74.69792937305236, 32.20339457502559], [74.69792937305236, 32.19339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.69792937305236, 32.20339457502559], [74.70792937305237, 32.20339457502559], [74.70792937305237, 32.21339457502559], [74.69792937305236, 32.21339457502559], [74.69792937305236, 32.20339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.70792937305237, 31.913394575025592], [74.71792937305237, 31.913394575025592], [74.71792937305237, 31.923394575025593], [74.70792937305237, 31.923394575025593], [74.70792937305237, 31.913394575025592]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
